date,浦东新区_quezhen,浦东新区_wuzhengzhuang,浦东新区_all,黄浦区_quezhen,黄浦区_wuzhengzhuang,黄浦区_all,静安区_quezhen,静安区_wuzhengzhuang,静安区_all,徐汇区_quezhen,徐汇区_wuzhengzhuang,徐汇区_all,长宁区_quezhen,长宁区_wuzhengzhuang,长宁区_all,普陀区_quezhen,普陀区_wuzhengzhuang,普陀区_all,虹口区_quezhen,虹口区_wuzhengzhuang,虹口区_all,杨浦区_quezhen,杨浦区_wuzhengzhuang,杨浦区_all,宝山区_quezhen,宝山区_wuzhengzhuang,宝山区_all,闵行区_quezhen,闵行区_wuzhengzhuang,闵行区_all,嘉定区_quezhen,嘉定区_wuzhengzhuang,嘉定区_all,金山区_quezhen,金山区_wuzhengzhuang,金山区_all,松江区_quezhen,松江区_wuzhengzhuang,松江区_all,青浦区_quezhen,青浦区_wuzhengzhuang,青浦区_all,奉贤区_quezhen,奉贤区_wuzhengzhuang,奉贤区_all,崇明区_quezhen,崇明区_wuzhengzhuang,崇明区_all
2022-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06,1,2,3,0,1,1,0,1,1,2,2,4,0,0,0,0,5,5,0,0,0,0,0,0,0,6,6,0,7,7,0,13,13,0,0,0,0,6,6,0,0,0,0,2,2,0,0,0
2022-03-07,0,4,4,0,0,0,0,0,0,3,10,13,0,0,0,1,0,1,0,1,1,0,0,0,0,6,6,0,13,13,0,12,12,0,1,1,0,4,4,0,0,0,0,0,0,0,0,0
2022-03-08,0,3,3,0,0,0,1,1,2,0,9,9,0,1,1,0,2,2,0,0,0,0,0,0,0,11,11,1,11,12,1,7,8,0,0,0,0,14,14,0,3,3,0,0,0,0,0,0
2022-03-09,1,8,9,0,1,1,1,3,4,0,6,6,0,1,1,0,1,1,1,3,4,0,1,1,0,2,2,1,24,25,0,16,16,0,0,0,0,9,9,0,0,0,0,1,1,0,0,0
2022-03-10,4,6,10,0,1,1,0,2,2,0,7,7,0,1,1,0,4,4,2,4,6,0,0,0,0,10,10,2,12,14,1,5,6,0,0,0,0,8,8,1,4,5,0,0,0,0,0,0
